"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4954","Вход через окно восстановления пароля","","Sun Jun 29 15:38:13 MSK 2025","broken","Sun Jun 29 15:38:18 MSK 2025","","LoginTest","LoginTest","enterFromRecoveryPasswordPage"
"","4905","Вход через кнопку Войти в аккаунт","","Sun Jun 29 15:37:58 MSK 2025","broken","Sun Jun 29 15:38:03 MSK 2025","","LoginTest","LoginTest","enterFromSignInButton"
"","4966","Вход через окно регистрации","","Sun Jun 29 15:38:08 MSK 2025","broken","Sun Jun 29 15:38:13 MSK 2025","","LoginTest","LoginTest","enterFromRegistrationPage"
"","4988","Клик по кнопке логотип находясь в Личном кабинете","","Sun Jun 29 15:38:38 MSK 2025","broken","Sun Jun 29 15:38:43 MSK 2025","","SwitchTest","SwitchTest","clickOnLogoFromAccount"
"","5526","Проверка выбора вкладки Начинки","","Sun Jun 29 15:38:18 MSK 2025","broken","Sun Jun 29 15:38:23 MSK 2025","","ConstructorTest","ConstructorTest","switchFillings"
"","4947","Клик по кнопке Конструктор находясь в Личном кабинете","","Sun Jun 29 15:38:43 MSK 2025","broken","Sun Jun 29 15:38:48 MSK 2025","","SwitchTest","SwitchTest","clickOnConstructorFromAccount"
"","5010","Проверка выбора вкладки Булки","","Sun Jun 29 15:38:23 MSK 2025","broken","Sun Jun 29 15:38:28 MSK 2025","","ConstructorTest","ConstructorTest","switchBuns"
"","5033","Вход через кнопку личный кабинет","","Sun Jun 29 15:38:03 MSK 2025","broken","Sun Jun 29 15:38:08 MSK 2025","","LoginTest","LoginTest","enterFromButtonAccount"
"","5008","Выход из аккаунта","","Sun Jun 29 15:38:33 MSK 2025","broken","Sun Jun 29 15:38:38 MSK 2025","","SwitchTest","SwitchTest","exitFromAccount"
"","35444","Регистрация нового пользователя с некорретным паролем","","Sun Jun 29 15:37:16 MSK 2025","broken","Sun Jun 29 15:37:52 MSK 2025","","RegistrationTest","RegistrationTest","registrationNewUserIncorrectPassword"
"","6134","Регистрация нового пользователя","","Sun Jun 29 15:37:52 MSK 2025","broken","Sun Jun 29 15:37:58 MSK 2025","","RegistrationTest","RegistrationTest","registrationNewUser"
"","5003","Проверка выбора вкладки Соусы","","Sun Jun 29 15:38:28 MSK 2025","broken","Sun Jun 29 15:38:33 MSK 2025","","ConstructorTest","ConstructorTest","switchSauces"
